target,score,valid_folds,roc_aucs,mean_roc_auc,std_roc_auc,pr_aucs,mean_pr_auc,std_pr_auc
target_inno_subsidy,current_doc2vec_diff,10,"[0.5955313910722678, 0.5828252879411223, 0.5241668786568303, 0.5779875262063702, 0.5568820779129641, 0.5759524206352687, 0.5592616552378488, 0.6255186095657049, 0.587820761633674, 0.556579117609005]",0.5742525726471057,0.02588978691225886,"[0.031227414499962934, 0.02132133576144745, 0.015489544944415118, 0.018159514170712758, 0.019678263300764755, 0.021450366668949183, 0.02024137156104469, 0.02371153295428686, 0.021318838805324813, 0.017712476004944522]",0.021031065867185308,0.004048633178266802
target_inno_subsidy,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,10,"[0.6228754284115549, 0.5723731377212002, 0.5770944079177449, 0.6192523115411563, 0.5941359285066434, 0.6390041137050426, 0.6648039649754768, 0.5805181462965908, 0.6034831088777796, 0.5952728929619966]",0.6068813440915186,0.028067062077644905,"[0.022918336082251585, 0.023787252311135716, 0.02698268091182198, 0.023214469345251294, 0.022585325825859315, 0.0369052461687375, 0.023590257640997044, 0.021622298090623077, 0.02119378534043178, 0.02109426412905987]",0.024389391584616914,0.004471002378798547
target_non_gov_investment,founding_doc2vec_diff,10,"[0.6072113303234585, 0.5695329196473362, 0.603260010582665, 0.552600655575484, 0.5120772946859904, 0.7162265240068444, 0.6193848048401778, 0.4843657975049527, 0.5440247363066874, 0.5980039042093976]",0.5806687977682994,0.0613383069342804,"[0.01326590465833531, 0.01558981985993755, 0.013812761492627851, 0.011264694558243558, 0.013683983715769345, 0.01736263676692985, 0.016270132527390842, 0.010803664777426069, 0.015665196872862393, 0.011422925996940383]",0.013914172122646316,0.0021610450466977567
target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,10,"[0.5505561172901922, 0.6326824802557867, 0.631266218643955, 0.6358906114844634, 0.5584336948566107, 0.6447667842171801, 0.6710629719479277, 0.6505894010318788, 0.5826596508012438, 0.63559640550791]",0.6193504336037148,0.03865618919949194,"[0.011023664401270753, 0.016693252860994184, 0.016135564952485467, 0.021497469202045448, 0.017458984514502965, 0.017605741930737974, 0.017769282347356734, 0.03930307526266849, 0.013056903794929162, 0.018700030040287665]",0.018924396930727883,0.007326573442574902
target_non_gov_investment,current_doc2vec_diff,10,"[0.5906265822784811, 0.6437844855566375, 0.6440701071080818, 0.623356053229471, 0.5339565076273937, 0.5907108081791627, 0.5925154170723791, 0.5615345657128387, 0.6300582425930615, 0.7059318814889846]",0.611654465084649,0.046090192214460216,"[0.013057272949274487, 0.017807007917937302, 0.017031580970508924, 0.03445677855157941, 0.013948348568173697, 0.01537356334518292, 0.01455442940380807, 0.012804623320289164, 0.017945943827842047, 0.021473361357416756]",0.01784529102120128,0.0060847099295370235
target_non_gov_investment,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,10,"[0.5527798805618639, 0.670555199699787, 0.5951396572138435, 0.6113011105502272, 0.6549659262998486, 0.6396390711761737, 0.6321838717819283, 0.6380615850580516, 0.6242743563856639, 0.604454820797577]",0.6223355479524965,0.031711877233470694,"[0.01207794558883793, 0.01788270927348678, 0.017711507812172317, 0.07610535005076889, 0.02507048847057277, 0.017688146361955478, 0.018232789241533855, 0.01628092301282931, 0.014705546405536687, 0.01923015684039297]",0.023498556305808698,0.01781719223140258
target_acquisition,founding_doc2vec_diff,10,"[0.6100058034850672, 0.6359280367851669, 0.5082377417903734, 0.5364653621232569, 0.6526372019793072, 0.5513804543409806, 0.6431483355825461, 0.43759840305892933, 0.6459176788124156, 0.5582876875446534]",0.5779606705502698,0.06797758806348318,"[0.008247164135367954, 0.006734602750308256, 0.005768239164232857, 0.024484103568879513, 0.010111635108585797, 0.005075308621541368, 0.009706517957324457, 0.004178027558665837, 0.009010455112463657, 0.005272114963854935]",0.008858816894122462,0.005567656224188124
target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,10,"[0.5353598881900768, 0.46879105520614955, 0.5129699510831587, 0.4870440251572327, 0.6101607267645003, 0.5296995108315863, 0.5505290418054014, 0.5842545320014799, 0.5237291897891232, 0.5376754459542582]",0.5340213366782968,0.039544726473684684,"[0.005276970729685125, 0.007951005261325595, 0.005005488973136078, 0.007225801766205416, 0.00806768778606804, 0.004849464836263664, 0.006336106176194839, 0.006672730118565576, 0.005621479468023119, 0.0054022540049936]",0.006240898912046105,0.0011360320125424752
target_acquisition,current_doc2vec_diff,10,"[0.5207636215933928, 0.5129913670270724, 0.6039518900343643, 0.5908976615539351, 0.47058083982901683, 0.4620526359902774, 0.5032478417567681, 0.5944900170252283, 0.6707553010369912, 0.5152066243615538]",0.54449378002086,0.06364301594190314,"[0.0047126079731840435, 0.0037285586445095237, 0.0048557387095146155, 0.0046702599790322645, 0.010345015712335015, 0.0030806421056049768, 0.0035108787938454037, 0.004195698031865849, 0.007139036114981052, 0.0037196315182256526]",0.004995806758309839,0.0020775189898264057
target_acquisition,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,10,"[0.6577276524644946, 0.5657268170426065, 0.541374269005848, 0.5146198830409356, 0.6575396825396825, 0.5087066355554698, 0.5309601403860617, 0.543224636982471, 0.7312224000617082, 0.5993404940509478]",0.5850442611130225,0.0706060359493335,"[0.005618537780489239, 0.0050564899091992774, 0.00547159459421149, 0.004215451421142668, 0.010712548474217185, 0.00378616911622835, 0.0039566354358125545, 0.005623984259406486, 0.0128245900408642, 0.004752824283135818]",0.006201882531470726,0.002892202420857369
