date,firm_name,amount_chf,type,location,firm_name_norm,firm_name_clean,ehraid,uid,legal_seat
2021-01-27,Endogena Therapeutics AG,7'200'000,Equity,,endogena therapeutics ag,endogena therapeutics ag,1454957.0,CHE243507320,Zürich
2021-01-27,Cyltronic AG,35'000,Grant,Winterthur,cyltronic ag,cyltronic ag,1454800.0,CHE490487322,Winterthur
2021-01-29,PreComb Therapeutics AG,Undisclosed,Grant,Hombrechtikon,precomb therapeutics ag,precomb therapeutics ag,1337796.0,CHE371974816,Hombrechtikon
2021-01-29,alao AG,2'630'000,Equity,8006 Zürich,alao ag,alao ag,1301980.0,CHE488569169,Zürich
2021-01-29,NLS Pharmaceutics AG,17'978'800,Equity,Stans,nls pharmaceutics ag,nls pharmaceutics ag,1224699.0,CHE447067367,Kloten
2021-01-29,cellvie AG,4'471'250,Equity,Zurich,cellvie ag,cellvie ag,1450951.0,CHE331507963,Zürich
2021-01-30,AMP IT SA,100'000,Equity,Satigny,amp it sa,amp it sa,1471297.0,CHE398067199,Satigny
2021-01-31,Testmate Health SA,890'000,Grant,Chavannes-de-Bogis,testmate health sa,testmate health sa,1434668.0,CHE231678216,Epalinges
2021-01-31,caresocius AG,500'000,Equity,Basel,caresocius ag,caresocius ag,1410357.0,CHE220202861,Allschwil
2021-02-01,AgroSustain SA,2'500'000,Grant,Renens,agrosustain sa,agrosustain sa,1350033.0,CHE384295771,Renens (VD)
2021-02-01,biped robotics SA,100'000,Grant,Epalinges,biped robotics sa,biped robotics sa,1470042.0,CHE388584292,Epalinges
2021-02-01,Emilian AG,155'000,Equity,Langnau am Albis,emilian ag,emilian ag,1475536.0,CHE146515947,Langnau am Albis
2021-02-01,Floating Robotics AG,130'000,Grant,Schlieren,floating robotics ag,floating robotics ag,1589427.0,CHE388582726,Schlieren
2021-02-01,LEDCity AG,1'400'000,Loan,Zürich,ledcity ag,ledcity ag,1304170.0,CHE376567447,Zürich
2021-02-01,Hair and Skin Medical AG,Undisclosed,Equity,Winterthur,hair and skin medical ag,hair and skin medical ag,1429034.0,CHE267750236,Winterthur
2021-02-02,Parquery AG,Undisclosed,Equity,Zürich,parquery ag,parquery ag,1194934.0,CHE407979606,Zürich
2021-02-03,Synendos Therapeutics AG,3'000'000,Grant,Basel,synendos therapeutics ag,synendos therapeutics ag,1391442.0,CHE145781587,Basel
2021-02-03,Auxivo AG,65'000,Grant,Schwerzenbach,auxivo ag,auxivo ag,1404986.0,CHE333419548,Schwerzenbach
2021-02-03,Nomady AG,Undisclosed,Equity,Einsiedeln,nomady ag,nomady ag,1419291.0,CHE259964605,Einsiedeln
2021-02-05,Exnaton AG,Undisclosed,Equity,Zürich,exnaton ag,exnaton ag,1444387.0,CHE263678315,Zürich
2021-02-08,Nexthink SA,161'790'000,Equity,Ecublens,nexthink sa,nexthink sa,768253.0,CHE112000579,Prilly
2021-02-09,Antefil Composite Tech AG,10'000,Grant,Zürich,antefil composite tech ag,antefil composite tech ag,1525184.0,CHE380263252,Zürich
2021-02-09,Taxly AG,Undisclosed,Equity,Zurich,taxly ag,taxly ag,1404125.0,CHE253409943,Zürich
2021-02-09,Nutriathletic AG,Undisclosed,Equity,,nutriathletic ag,nutriathletic ag,1139311.0,CHE479810627,Wollerau
2021-02-10,Uzufly Sàrl,40'000,Convertible loan,Lausanne,uzufly sàrl,uzufly sàrl,1456043.0,CHE432356331,Renens (VD)
2021-02-10,Systemcredit AG,400'000,Convertible loan,Schlieren-Zurich,systemcredit ag,systemcredit ag,1363449.0,CHE444179194,Schlieren
2021-02-11,Selma Finance AG,3'500'000,Equity,Arth,selma finance ag,selma finance ag,1284022.0,CHE271699590,Zürich
2021-02-12,MaxBrain AG,550'000,Convertible loan,Zurich,maxbrain ag,maxbrain ag,1277942.0,CHE393164493,Zürich
2021-02-12,HEGIAS AG,1'800'000,Equity,Zürich,hegias ag,hegias ag,1321189.0,CHE453297177,Zürich
2021-02-14,kaiosID SA,100'000,Convertible loan,Villars-le-Terroir,kaiosid sa,kaiosid sa,1404201.0,CHE402424838,Villars-le-Terroir
2021-02-15,RAW Labs SA,5'500'000,Equity,Lausanne,raw labs sa,raw labs sa,1211361.0,CHE215716321,Ecublens (VD)
2021-02-16,GetYourGuide AG,88'000'000,Loan,Zürich,getyourguide ag,getyourguide ag,899473.0,CHE114077156,Zürich
2021-02-16,dua AG,1'150'000,Equity,Zürich,dua ag,dua ag,1406417.0,CHE361938629,Zürich
2021-02-17,SoHHytec SA,100'000,Convertible loan,Lausanne,sohhytec sa,sohhytec sa,1423618.0,CHE299621198,Ecublens (VD)
