model,metric,metric_value,target,mean_ap_website,mean_ap_base,p_value,ci_lower_99,ci_upper_99,ci_lower_95,ci_upper_95,ci_lower_90,ci_upper_90
founding_dim768,all_pr_auc,0.17795862822307373,target_inno_subsidy,0.17795862822307373,0.15437729122909943,0.14943626359354034,-0.022202903274121763,0.06936557726207036,-0.00951179821620133,0.05667447220414993,-0.0036290016552566196,0.05079167564320522
founding_dim768_w,all_roc_auc,0.6710068721900249,target_inv_exit,0.6710068721900249,0.668959145980485,0.8628616086059614,-0.031596084929888815,0.03569153734896853,-0.022506723365001403,0.026602175784081118,-0.018218570930746775,0.02231402334982649
founding_dim768_w,all_pr_auc,0.10907578369039236,target_inv_exit,0.10907578369039236,0.10991267003816105,0.8974703287716721,-0.019339240756371244,0.017665468060833876,-0.014319135120418793,0.012645362424881425,-0.011957669900826768,0.0102838972052894
founding_dim768_w,all_roc_auc,0.8144371875694916,target_acquisition,0.8144371875694916,0.8066552406898385,0.7007682659031392,-0.049761241404108834,0.06532513516341495,-0.03416018837384442,0.049724082133150535,-0.026817666605717647,0.04238156036502376
founding_dim768_w,all_pr_auc,0.0600291847516098,target_acquisition,0.0600291847516098,0.07272064247050883,0.6396619440414818,-0.08967351790416625,0.0642906024663682,-0.0687916759013674,0.04340876046356935,-0.058967178786211785,0.03358426334841373
founding_dim768_w,all_roc_auc,0.9411112727674201,target_non_gov_investment,0.9411112727674201,0.9174485679174917,0.002750625675346374,0.004196006010437271,0.0431294036894195,0.009602215422222702,0.03772319427763407,0.012104940527009597,0.03522046917284717
founding_dim768_w,all_pr_auc,0.2866483667157541,target_non_gov_investment,0.2866483667157541,0.25011727792439287,0.32704878280641236,-0.06785753478666694,0.14091971236938944,-0.039653495363513785,0.11271567294623627,-0.02634810184728935,0.09941027943001184
founding_dim768_w,all_roc_auc,0.8662732642783165,target_inno_subsidy,0.8662732642783165,0.8574718763056832,0.3576933326638938,-0.018044947688217895,0.03564772363348449,-0.010790449761360246,0.02839322570662685,-0.007368449938573017,0.02497122588383962
founding_dim768_w,all_pr_auc,0.17903519708953297,target_inno_subsidy,0.17903519708953297,0.15437729122909943,0.10652313241334846,-0.017502668946575116,0.0668184806674422,-0.005916141697631112,0.05523195341849819,-0.0005134392688230273,0.0498292509896901
founding_dim300_w,all_roc_auc,0.6706529845509754,target_inv_exit,0.6706529845509754,0.668959145980485,0.8859794802838533,-0.03183621250732936,0.03522388964831023,-0.02277693508216507,0.026164612223145943,-0.018503184727628994,0.021890861868609866
